PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P09664,Velachery,1724,09-04-2006,116,2,1,4,AbNormal,Yes,22-04-1952,House,ELO,No Access,RL,3.8,2.2,2,2.54,358259,152260,8956480
P02813,Adyar,890,20-07-2011,116,1,1,3,AbNormal,Yes,27-07-1981,House,NoSewr ,Paved,C,2.5,4.7,5,4.19,251557,43124,7187350
P08933,Adyar,1218,13-06-2007,51,2,2,4,Normal Sale,No,20-06-1977,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,12574850
P03590,Anna Nagar,1792,21-02-2011,41,1,1,4,Family,Yes,26-02-1990,House,ELO,Gravel,RM,2.7,2.6,2,2.395,514532,250313,13906270
P01725,Karapakkam,1378,19-02-2012,192,2,2,4,AdjLand,No,21-02-2003,Others,NoSewr ,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,9917500
P06570,Karapakkam,898,22-07-2009,72,1,1,3,Partial,Yes,29-07-1980,Commercial,NoSewr ,Paved,RH,2.4,3.1,2.1,2.49,345190,215744,8629750
P02686,Anna Nagar,1928,18-08-2011,148,2,1,5,Partial,No,20-08-2001,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,11667050
P07789,Chrompet,1233,02-08-2008,24,2,1,4,AbNormal,No,11-08-1975,House,NoSeWa,Gravel,RM,2.2,2,4.6,2.84,245429,107989,9817150
P08836,Velachery,1618,30-07-2007,100,2,1,4,AdjLand,Yes,09-08-1967,Others,NoSewr ,Paved,C,4,4.3,4.1,4.17,370522,92631,9263050
P02716,Karapakkam,627,12-08-2011,49,1,1,2,Family,No,19-08-1983,House,NoSewr ,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,6587500
P09780,Velachery,1563,16-08-2005,43,2,1,4,Family,No,23-08-1977,House,NoSeWa,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,9799360
P06528,Karapakkam,1693,30-07-2009,187,2,2,4,Normal Sale,Yes,01-08-2003,Commercial,NoSewr ,Gravel,C,3.9,2.1,3.9,3.36,384045,166420,12801500
P06989,T Nagar,1522,30-03-2009,85,1,1,4,Partial,No,10-04-1966,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,17454510
P07824,Adyar,1090,21-07-2008,171,1,1,3,Partial,Yes,28-07-1980,Others,NoSeWa,Gravel,RH,3.1,2.7,2.3,2.62,373632,98324,9832420
P00545,Chrompet,1085,19-01-2014,149,1,1,3,AbNormal,Yes,21-01-2008,Commercial,NoSewr ,Gravel,RL,2.8,3.8,4.6,,387815,100545,14363500
P06461,T Nagar,1687,13-08-2009,73,1,1,4,AbNormal,No,16-08-1996,Others,NoSewr ,Paved,RH,4.6,4.6,2,3.43,411733,224582,12476770
P07650,Adyar,692,12-09-2008,62,1,1,2,Normal Sale,Yes,22-09-1971,Commercial,AllPub,Paved,RH,4.1,4.4,5,4.61,394491,124576,10381355
P07887,T Nagar,1518,03-07-2008,145,1,1,4,Family,Yes,13-07-1971,Commercial,AllPub,Paved,RH,3.7,3.5,4.1,3.83,457606,158402,17600240
P08050,Adyar,1025,10-05-2008,125,1,1,3,Partial,No,17-05-1983,Commercial,NoSeWa,Paved,I,2.5,2.5,2.7,2.6,349916,142153,10934875
P04677,KK Nagar,2170,20-07-2010,121,3,2,5,Family,Yes,22-07-2002,House,NoSewr ,Gravel,RL,3.7,4.6,4,4.09,593864,284560,12372160
P03124,Chrompet,969,23-05-2011,70,1,1,3,Family,Yes,27-05-1994,Commercial,ELO,No Access,RH,3.4,2.4,4,3.18,337463,146234,11248750
P08147,KK Nagar,1546,09-04-2008,129,2,1,4,AbNormal,No,16-04-1981,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,14241140
P06097,KK Nagar,1709,24-10-2009,6,2,1,4,AbNormal,Yes,29-10-1989,House,NoSeWa,Paved,RL,4.3,3.7,2,3.2,467388,233694,10160600
P00959,T Nagar,1659,07-04-2013,103,1,1,4,AdjLand,Yes,12-04-1995,Others,NoSeWa,No Access,RL,3.8,2.3,3.8,3.425,433251,216625,13539080
P00057,Chrompet,755,09-01-2015,8,1,1,2,Normal Sale,No,17-01-1982,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,10727750
P08607,Adyar,1182,24-10-2007,50,1,1,3,Normal Sale,Yes,28-10-1990,House,AllPub,No Access,RL,3.2,3.5,3.1,3.21,374948,39468,9867055
P01632,Adyar,735,06-03-2012,67,1,1,2,AdjLand,No,10-03-1998,Commercial,NoSeWa,No Access,RH,2.7,4,4,3.61,284361,132702,9478710
P00937,Chrompet,1089,19-04-2013,0,1,1,3,Normal Sale,Yes,27-04-1981,House,ELO,Paved,RL,2.7,2.9,3.1,2.9,235305,45251,9050200
P09868,Velachery,1534,04-01-2005,6,2,1,4,Partial,Yes,18-01-1952,Others,ELO,Paved,C,4.7,4.6,2.3,3.94,284552,63234,7904210
P08848,Anna Nagar,1622,26-07-2007,147,1,1,4,Family,Yes,27-07-2002,House,ELO,Gravel,RL,4.4,3.7,4.2,4.145,378840,209015,13063450
P07681,KK Nagar,2198,04-09-2008,71,3,2,5,Partial,Yes,10-09-1987,Others,NoSewr ,Gravel,RM,4.8,4.2,3.9,4.26,679249,122265,13584980
P00407,Chrompet,1293,09-05-2014,34,2,1,4,Normal Sale,No,19-05-1975,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,13116050
P06126,KK Nagar,1641,17-10-2009,178,2,1,4,Partial,No,24-10-1980,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,10012600
P09763,Velachery,1950,03-09-2005,185,3,2,5,AdjLand,Yes,13-09-1964,Others,NoSeWa,Paved,RL,5,4.2,3.4,4.16,411601,84741,12105920
P02652,Karapakkam,1245,26-08-2011,106,1,1,3,Partial,No,02-09-1983,Others,NoSeWa,Paved,A,4.1,2.9,3.5,3.5,201653,113123,4918375
P06329,Chrompet,905,12-09-2009,144,1,1,3,Family,No,20-09-1976,Others,ELO,Gravel,RH,3.8,3.5,4,3.74,223393,77032,7703200
P01701,KK Nagar,1496,24-02-2012,135,2,1,4,Family,No,27-02-1998,House,NoSewr ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080
P09722,Velachery,1892,22-11-2005,38,3,2,5,AdjLand,Yes,01-12-1969,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,449425,133613,12146620
P04743,Velachery,1517,05-07-2010,40,2,1,4,Family,No,08-07-1999,Commercial,ELO,Paved,C,4,4.6,2.9,3.94,408507,116716,11671620
P06768,Adyar,1034,30-05-2009,73,1,1,3,AdjLand,Yes,03-06-1993,Others,ELO,Gravel,C,3.8,3.3,3.5,,277702,46284,9256740
P06746,Velachery,1755,06-06-2009,142,2,1,4,Family,Yes,15-06-1974,Commercial,NoSewr ,Gravel,I,4.6,4,3.9,4.12,581720,193907,14915900
P00934,Anna Nagar,1622,20-04-2013,79,1,1,4,AdjLand,Yes,22-04-2006,House,NoSeWa,Paved,RM,2.2,3.3,2.2,2.475,406434,243860,13547790
P00899,Chrompet,1092,13-05-2013,89,1,1,3,Normal Sale,No,14-05-2009,Others,AllPub,No Access,RH,2.4,2.4,2,2.28,246391,57491,8213040
P00566,Chrompet,821,02-01-2014,34,1,1,3,AdjLand,No,04-01-2006,House,NoSeWa,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,7304000
P07878,KK Nagar,1694,07-07-2008,72,2,1,4,Family,No,10-07-1997,Others,NoSeWa,Gravel,RL,4,2,3.9,3.36,353291,114300,10390900
P05305,Anna Nagar,1809,22-03-2010,177,2,1,5,Family,No,28-03-1984,Commercial,AllPub,No Access,RL,3,3.5,2,2.725,518585,230482,19206870
P02252,Karapakkam,1401,05-11-2011,20,2,2,4,Partial,Yes,08-11-1997,Others,AllPub,Gravel,RL,3.8,4.3,4,4.03,438477,229204,9965375
P03571,Karapakkam,1470,26-02-2011,99,2,2,4,AbNormal,No,04-03-1986,Others,NoSewr ,No Access,RH,3.1,3,3.1,3.07,302694,172968,7207000
P00942,Chrompet,798,15-04-2013,166,1,1,2,Partial,No,24-04-1976,Commercial,NoSewr ,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,9070550
P08304,Chrompet,764,21-02-2008,137,1,1,2,Partial,No,23-02-2000,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,5670200
P07597,Chrompet,1135,25-09-2008,50,1,1,3,AbNormal,No,01-10-1985,Others,NoSewr ,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,9253200
P06565,Karapakkam,939,23-07-2009,74,1,1,3,AbNormal,No,02-08-1971,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,4294000
P06398,Karapakkam,1586,27-08-2009,59,2,2,4,Normal Sale,Yes,03-09-1981,Commercial,NoSewr ,Gravel,RM,3.9,3,4.5,3.87,586956,200424,14316000
P09293,T Nagar,1973,29-01-2007,63,2,1,5,Family,Yes,07-02-1972,Commercial,AllPub,Gravel,RM,2.6,2.9,4.9,3.71,885666,116535,23307000
P09021,Chrompet,1023,11-05-2007,44,1,1,3,Partial,Yes,15-05-1990,House,AllPub,Pavd,RM,3,2.8,3.6,3.1,282319,38941,9735150
P04325,Chrompet,884,22-09-2010,75,1,1,3,Normal Sale,No,23-09-2006,Commercial,NoSewr ,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,11336400
P05031,Anna Nagar,1640,14-05-2010,113,1,1,4,AdjLand,No,15-05-2005,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,17701600
P08918,Adyar,622,20-06-2007,60,1,1,2,Normal Sale,No,25-06-1987,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,6572900
P05947,Anna Nagar,1880,23-11-2009,90,2,1,5,Partial,Yes,27-11-1993,House,NoSeWa,No Access,RM,3.2,4.2,4,3.77,483229,214768,13423020
P05350,KK Nagar,2413,13-03-2010,166,4,2,6,AbNormal,No,15-03-2001,Others,NoSeWa,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,13122040
P07092,T Nagar,1649,28-02-2009,169,1,1,4,AdjLand,No,06-03-1984,Commercial,AllPub,Gravel,RH,2.1,2,4.6,3.2,681808,113635,18939100
P08337,Velachery,1729,08-02-2008,144,2,1,4,Partial,Yes,18-02-1967,Commercial,NoSewr ,Paved,A,3.3,4,4,3.83,396911,128036,12803570
P00089,T Nagar,1942,20-12-2014,10,2,1,5,Family,No,29-12-1977,House,NoSeWa,Gravel,RH,4.6,3.1,2.9,,320599,61654,12330740
P00403,Chrompet,711,12-05-2014,116,1,1,2,AdjLand,Yes,15-05-2002,Others,NoSeWa,No Access,RL,2.6,3.2,2.8,2.9,249558,64402,8050270
P00717,Chrompet,885,19-09-2013,122,1,1,3,Family,No,27-09-1981,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,7194600
P06064,KK Nagar,1688,30-10-2009,148,2,1,4,AbNormal,Yes,03-11-1994,House,NoSewr ,Gravel,RM,2,2.5,4.4,3.11,547810,285318,11412700
P08625,Adyar,1236,17-10-2007,108,2,2,4,Family,No,26-10-1970,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,481414,24071,12035355
P02917,Karapakkam,926,29-06-2011,98,1,1,3,Family,No,04-07-1991,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,288834,68770,6877000
P06881,KK Nagar,1686,30-04-2009,57,2,1,4,AbNormal,No,06-05-1985,Others,NoSeWa,Paved,RM,3.2,2.7,3.9,3.33,382817,196582,10346400
P05823,Karapakkam,1344,16-12-2009,129,2,2,4,AdjLand,No,29-12-1959,Commercial,NoSewr ,Gravel,RH,4.6,4.2,3.3,3.96,453999,259428,10809500
P01492,KK Nagar,1437,02-04-2012,104,2,1,4,Family,No,08-04-1989,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,489629,102006,10200600
P06226,Karapakkam,1430,02-10-2009,17,2,2,4,AbNormal,Yes,05-10-1999,Others,NoSewr ,No Access,A,4.3,3.2,3.8,,238887,106172,6635750
P07481,Adyar,1081,26-10-2008,85,1,1,3,Family,No,03-11-1978,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,241416,6190,6190150
P05518,Karapakkam,1352,09-02-2010,1,2,2,4,Normal Sale,Yes,16-02-1983,House,ELO,Gravel,A,3,2,3.5,2.9,240768,123638,6507250
P06801,KK Nagar,1986,19-05-2009,109,3,2,5,Normal Sale,No,27-05-1979,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,476717,227008,11350400
P07373,Anna Nagar,1758,05-12-2008,164,1,1,4,Partial,Yes,16-12-1966,Commercial,AllPub,No Access,RL,3.5,2.9,4,3.55,713565,231426,19285540
P04399,Karapakkam,607,08-09-2010,121,1,1,2,Normal Sale,No,19-09-1964,Other,NoSeWa,Gravel,RL,4.2,4.9,2.2,3.61,175699,117133,5856625
P07490,KK Nagar,2139,24-10-2008,136,3,2,5,Normal Sale,Yes,30-10-1987,Others,NoSewr ,Paved,RL,2.3,4.1,2.4,2.88,424048,249440,12472000
P05417,KK Nagar,1488,28-02-2010,97,2,1,4,Partial,No,07-03-1983,Others,AllPub,Paved,RH,2.3,5,4.1,3.83,405211,202606,8441900
P09702,Velachery,1645,27-01-2006,96,2,1,4,Partial,No,03-02-1980,House,NoSeWa,No Access,RH,3.7,4.5,2.1,3.58,250118,75793,7579320
P05869,Chrompet,950,07-12-2009,177,1,1,3,Normal Sale,Yes,14-12-1983,Others,NoSeWa,Gravel,RL,3.7,2.6,3.4,3.17,273252,146385,9759000
P00534,Chrompet,928,25-01-2014,90,1,1,3,Partial,Yes,26-01-2010,Commercial,AllPub,Gravel,RH,2.1,3.8,3.7,3.26,409985,62119,12423800
P07334,Velachery,1693,17-12-2008,145,2,1,4,Normal Sale,Yes,31-12-1955,Commercial,NoSewr ,Paved,RM,4.1,2.7,4.1,3.47,604335,108470,15495760
P08511,Velachery,1873,02-12-2007,0,3,2,5,Family,Yes,07-12-1986,Others,ELO,No Access,RL,4.8,3.4,3.9,3.90,363735,198401,11022270
P04112,Adyar,721,04-11-2010,145,1,1,2,Partial,No,06-11-2000,Others,NoSeWa,Paved,RL,3.4,2.8,4.6,3.88,273800,60844,7605550
P02262,Karapakkam,1190,03-11-2011,37,1,1,3,Family,Yes,10-11-1982,House,NoSewr ,Gravel,RH,4.3,4.1,3.8,4.04,342613,127484,7967750
P03305,KK Nagar,1593,17-04-2011,9,2,1,4,Partial,No,21-04-1994,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,402606,223670,8946800
P05447,Chrompet,786,22-02-2010,181,1,1,2,AbNormal,Yes,25-02-1998,Others,ELO,Gravel,RL,4.4,4.8,4.3,4.53,249610,83203,9244820
P02126,Chrompet,1195,06-12-2011,93,1,1,3,AdjLand,No,10-12-1992,Others,NoSeWa,Paved,RL,3,4.7,3.2,3.74,265183,29465,9821600
